Title,Subject,Audience,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"Mashal & Baqar's RSPC Updates","*|COUPLE|*'s Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Apr 15, 2018 07:01 pm",Sunday,7,7,0,0,0,0,0,3,42.86%,8,1,14.29%,2,0,0,0,11577,7f3caef2f4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Sapna & Shyam's RSPC Updates","Sapna & Shyam's Wedding Film Collection: Feature Film Now Streaming! 🎥","Guest Content Notifications","Apr 15, 2018 07:03 pm",Sunday,33,30,3,0,3,0,0,11,36.67%,40,7,23.33%,52,0,0,0,11577,87f539f79e,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Surina & Hiren's RSPC Updates","Surina & Hiren's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","May 24, 2018 10:01 pm",Thursday,14,14,0,0,0,0,0,10,71.43%,31,3,21.43%,16,0,0,0,11577,3cd5ef0acd,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Surina & Hiren's RSPC Updates","Surina & Hiren's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jun 03, 2018 11:01 pm",Sunday,17,16,1,0,1,0,0,11,68.75%,54,7,43.75%,30,0,0,0,11577,9f42a3bf25,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Surina & Hiren's RSPC Updates","Surina & Hiren's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jun 10, 2018 11:02 pm",Sunday,35,32,2,1,3,0,0,21,65.63%,48,11,34.38%,17,0,0,0,11577,3275e342c9,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Ruchi & Vishal's RSPC Updates","Ruchi & Vishal's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jun 22, 2018 11:01 am",Friday,14,14,0,0,0,0,0,10,71.43%,60,5,35.71%,7,0,0,0,11577,a4619fb1ca,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Sejal & Shaleen's RSPC Updates","*|COUPLE|*'s Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jun 27, 2018 09:02 pm",Wednesday,11,11,0,0,0,0,0,7,63.64%,30,4,36.36%,27,0,0,0,11577,aff384ac69,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Yanet & Jose Manuel's RSPC Updates","Yanet & Jose Manuel's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jun 27, 2018 09:03 pm",Wednesday,13,13,0,0,0,0,0,4,30.77%,14,2,15.38%,6,0,0,0,11577,1bf79761e4,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Shaili & Rahul's RSPC Updates","Shaili & Rahul's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jun 29, 2018 11:03 am",Friday,5,5,0,0,0,0,0,4,80.00%,4,0,0.00%,0,0,0,0,11577,35479286e2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Diana & Shaun's RSPC Updates","Diana & Shaun's Wedding Film Collection: Now Streaming! 🎥","Guest Content Notifications","Jul 01, 2018 12:01 pm",Sunday,8,8,0,0,0,0,0,6,75.00%,27,3,37.50%,6,0,0,0,0,22fe7daa09,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
